cve_inegi	state	municipality	year	aggr_sum	aggr_dummy	cvmr1000	menfeje1000	juxt1	juxt2	juxt3	juxt4	juxt5	juxt6	juxt7	juxt8	juxt9	juxtaposition	juxt_cvm	elect_local	elec_cvm	elect_fed	lag_neightotal	perc_tax	mpoff1000	alternancia_mun	alternancia_st	enp_mun	enp_st	center	northcenter	north	gulf	pacific	southeast	southwest
3001	"Baja California Sur"	"Comond��"	2008	0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	1	8.0	0.0	1.0	0.0	0	0.0	4.50845	0.08832102	0	0	2.01311	2.83156	0	0	1	0	0	0	0
3001	"Baja California Sur"	"Comond��"	2009	0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	1	8.0	0.0	0.0	0.0	0	0.0	4.19866	0.08650519	0	0	2.01311	2.83156	0	0	1	0	0	0	0
3001	"Baja California Sur"	"Comond��"	2010	0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	1	8.0	0.0	0.0	0.0	0	0.0	3.16215	0.08472662	0	0	2.01311	2.83156	0	0	1	0	0	0	0
3001	"Baja California Sur"	"Comond��"	2011	0	0.0	0.0	0.027661752	1	0	0	0	0	0	0	0	0	0.0	0.0	1.0	0.0	0	0.0	3.98663	0.08298525	1	1	2.58849	2.83156	0	0	1	0	0	0	0
3001	"Baja California Sur"	"Comond��"	2012	0	0.0	0.0		1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	1	0.0	6.05893	0.081278786	1	1	2.58849	3.104	0	0	1	0	0	0	0
3002	"Baja California Sur"	"Muleg��"	2007	0	0.0	0.0	0.0181143	0	0	0	0	0	0	0	0	1	8.0	0.0	0.0	0.0	0	0.0	7.32869	0.1449144	1	0	2.27533	2.83156	0	0	1	0	0	0	0
3002	"Baja California Sur"	"Muleg��"	2008	0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	1	8.0	0.0	1.0	0.0	0	0.0	4.4347	0.14164807	0	0	2.15084	2.83156	0	0	1	0	0	0	0
3002	"Baja California Sur"	"Muleg��"	2009	0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	1	8.0	0.0	0.0	0.0	0	0.0	6.03844	0.13845383	0	0	2.15084	2.83156	0	0	1	0	0	0	0
3002	"Baja California Sur"	"Muleg��"	2010	0	0.0	0.0	0.016916467	0	0	0	0	0	0	0	0	1	8.0	0.0	0.0	0.0	0	0.0	5.44795	0.13533174	0	0	2.15084	2.83156	0	0	1	0	0	0	0
3002	"Baja California Sur"	"Muleg��"	2011	0	0.0	0.0	0.0	0	0	1	0	0	0	0	0	0	2.0	0.0	1.0	0.0	0	1.0	4.44487	0.1322795	0	1	3.13245	2.83156	0	0	1	0	0	0	0
3002	"Baja California Sur"	"Muleg��"	2012	0	0.0	0.0		0	0	1	0	0	0	0	0	0	2.0	0.0	0.0	0.0	1	0.0		0.113134965	0	1	3.13245	3.104	0	0	1	0	0	0	0
3003	"Baja California Sur"	"La Paz"	2007	0	0.0	0.0043107537	0.008621507	0	0	0	0	0	0	0	0	1	8.0	0.03448603	0.0	0.0	0	0.0	21.3473	0.09052583	0	0	2.01118	2.83156	0	0	1	0	0	0	0
3003	"Baja California Sur"	"La Paz"	2008	0	0.0	0.008388277	0.0041941386	0	0	0	0	0	0	0	0	1	8.0	0.06710622	1.0	0.008388277	0	0.0	24.6379	0.088076904	0	0	2.87904	2.83156	0	0	1	0	0	0	0
