Frazione/Località,Numero,Insegna,Indirizzo,Note,Comune,Cap,Civico,Categorie
,120,FOTO CINE LA ROTONDA,Via San Vigilio,,Trento,38122,7,[]
,121,FARMACIA DOTT. SANTONI,Piazza Filzi,,Rovereto,38068,21,['FARMACIA']
,122,OREFICERIA FRANCO GOTTARDI,Viale Dante,,Tione di Trento,38079,50,[]
Bertoldi,123,BAR BELEM DI BERTOLDI FRANCA,,,Lavarone,38046,57,['BAR']
 Cappella,124,BAR ALBERGO NAZIONALE DI PACE ENLI & C. SNC,Piazza Milano,bar,Lavarone,38046,6,"['BAR', 'ALBERGO']"
 Cappella,125,TABACCHI PACE ENLI,Piazza Milano,,Lavarone,38046,6,['TABACCHI']
 Cappella,126,CASEIFICIO DEGLI ALTIPIANI E DEL VEZZENA S.C.A.,Via Marconi,,Lavarone,38046,5,[]
,127,FOTO EMANUELLI,Via S. Bernardino,,Arco,38062,2,[]
,128,BAZAR DEL POPOLO,Via Vergolano,,Arco,38062,16,['BAZAR']
,130,MANIFATTURE LOMBARDE,Via Segantini,,Arco,38062,78,['BAR']
,131,CALZATURE GIULIANI,Via Segantini,,Arco,38062,105,['CALZATURE']
,132,ALIMENTARI TRENTI,Via S. Bernardino,,Arco,38062,9,['ALIMENTARI']
,133,ZAMBONI TESSUTI,Piazza 3 Novembre,,Arco,38062,6,[]
,134,RISTORANTE HOTEL MARCHI,Via Ferrera,,Arco,38062,22,"['RISTORANTE', 'HOTEL']"
,135,RISTORANTE ALLA LEGA,Via Vergolano,,Arco,38062,8,['RISTORANTE']
,136,RISTORANTE BELVEDERE,Via Serafini,,Arco,38062,2,['RISTORANTE']
,137,PANIFICIO PULIN SAS,Via Cavour,,Trento,38122,23,['PANIFICIO']
,138,ANTICA MACELLERIA BALLARDINI,Via del Foro,,Tione di Trento,38079,14,['MACELLERIA']
,139,CARTOLIBRERIA B. ANTOLINI,Viale Dante,,Tione di Trento,38079,5,[]
,140,DI FLORIO MARIA TERESA,Via del Moleta,esercizio commerciale,Cinte Tesino,38050,8,[]
 Valle San Felice,141,FAMIGLIA COOEPRATIVA VALLE SAN FELICE,Piazza San Felice,,Mori,38065,12,[]
,142,ABBIGLIAMENTO MAGANOTTI MARIA GRAZIA,Piazza Cal Di Ponte,,Mori,38065,15,[]
 Loppio,143,TRATTORIA - BAR AL LAGO,Via del Garda,,Mori,38065,1,['BAR']
,144,FABBRICA RETI E MATERIASSI MENEGHELLI,Largo Villanuova,,Mori,38065,32,[]
,145,LA BOTTEGA DI GARUFFO LIA,Via Modena,,Mori,38065,51,[]
,146,VINERIA – BAR BAROLDI,Via Modena,,Mori,38065,35,['BAR']
,147,BAR SANI,Piazza Cal Di Ponte,,Mori,38065,16,['BAR']
,148,FORGIATURA MARCHIORI,Via Monte Baldo,,Mori,38065, 6/A,[]
,149,FERRAMENTA MALFATTI,Piazza Cal Di Ponte,,Mori,38065,4,['FERRAMENTA']
,150,OFFICINA BOMBARDELLI,Via Matteotti,,Mori,38065,96,['BAR']
,151,EDICOLA CARTOLERIA PERINI,Piazza Cal Di Ponte,,Mori,38065,28,[]
,152,ALIMENTARI MIORELLI,Via Modena,,Mori,38065,2,['ALIMENTARI']
,153,CAFFE’ DEL GELSO,Via Garibaldi,,Mori,38065,3,[]
,154,MACELLERIA TRANQUILLINI,Via Modena,,Mori,38065,1,['MACELLERIA']
,155,FARMACIA S. STEFANO,Via Malfatti,,Mori,38065,6,['FARMACIA']
,156,SUPERMARKET ZENI,Via Don  Sturzo,,Mori,38065,6,[]
