Code,State,Year,Beltran_Leyva,Beltran_Leyva_Family,Familia,Golfo,Juarez,Sinaloa,Sinaloa_Family,Tijuana,Zetas,Otros
3002,3,2002,0,0,0,0,0,0,0,0,0,0
3002,3,2003,0,0,0,0,0,0,0,0,0,0
3002,3,2004,0,0,0,0,0,0,0,0,0,0
3002,3,2005,0,0,0,0,0,0,0,0,0,0
3002,3,2006,0,0,0,0,0,0,0,1,0,0
3002,3,2007,0,0,0,0,0,0,0,0,0,0
3002,3,2008,0,0,0,0,0,0,0,0,0,0
3002,3,2009,0,0,0,0,0,0,0,0,0,0
3002,3,2010,0,0,0,0,0,0,0,1,0,0
3003,3,1990,0,0,0,0,0,0,0,0,0,0
3003,3,1991,0,0,0,0,0,0,0,0,0,0
3003,3,1992,0,0,0,0,0,0,0,0,0,0
3003,3,1993,0,0,0,0,0,0,0,0,0,0
3003,3,1994,0,0,0,0,0,0,0,0,0,0
3003,3,1995,0,0,0,0,0,0,0,0,0,0
3003,3,1996,0,0,0,0,0,0,0,0,0,0
3003,3,1997,0,0,0,0,0,0,0,0,0,0
3003,3,1998,0,0,0,0,0,0,0,1,0,0
3003,3,1999,0,0,0,0,0,0,0,0,0,0
3003,3,2000,0,0,0,0,0,0,0,0,0,0
3003,3,2001,0,0,0,0,0,0,0,1,0,0
3003,3,2002,0,0,0,0,0,0,0,0,0,0
3003,3,2003,0,0,0,0,0,0,0,0,0,0
3003,3,2004,0,0,0,0,0,0,0,0,0,0
3003,3,2005,0,0,0,0,1,0,0,1,0,0
3003,3,2006,0,0,0,0,0,1,0,1,0,0
3003,3,2007,0,0,0,0,0,0,0,1,0,0
3003,3,2008,0,0,0,0,0,0,0,1,0,1
3003,3,2009,0,1,0,1,0,1,0,1,0,1
3003,3,2010,0,0,0,0,0,1,0,1,0,1
3008,3,1990,0,0,0,0,0,0,0,0,0,0
3008,3,1991,0,0,0,0,0,0,0,0,0,0
3008,3,1992,0,0,0,0,0,0,0,0,0,0
3008,3,1993,0,0,0,0,0,0,0,0,0,0
3008,3,1994,0,0,0,0,0,0,0,0,0,0
3008,3,1995,0,0,0,0,0,0,0,0,0,0
3008,3,1996,0,0,0,0,0,0,0,0,0,0
3008,3,1997,0,0,0,0,0,0,0,0,0,0
3008,3,1998,0,0,0,0,0,0,0,0,0,0
3008,3,1999,0,0,0,0,0,0,0,0,0,0
3008,3,2000,0,0,0,0,0,0,0,0,0,0
3008,3,2001,0,0,0,0,0,0,0,0,0,0
3008,3,2002,0,0,0,0,0,0,0,0,0,0
3008,3,2003,0,0,0,0,0,0,0,0,0,0
3008,3,2004,0,0,0,0,0,0,0,0,0,0
3008,3,2005,0,0,0,0,0,0,0,0,0,0
3008,3,2006,0,0,0,0,0,0,0,0,0,0
3008,3,2007,0,0,0,0,0,0,0,1,0,0
3008,3,2008,0,0,1,1,0,0,0,0,0,0
3008,3,2009,0,0,0,0,0,0,0,1,0,1
3008,3,2010,0,0,0,0,0,0,0,1,0,1
3009,3,1990,0,0,0,0,0,0,0,0,0,0
3009,3,1991,0,0,0,0,0,0,0,0,0,0
3009,3,1992,0,0,0,0,0,0,0,0,0,0
3009,3,1993,0,0,0,0,0,0,0,0,0,0
3009,3,1994,0,0,0,0,0,0,0,0,0,0
3009,3,1995,0,0,0,0,0,0,0,0,0,0
3009,3,1996,0,0,0,0,0,0,0,0,0,0
3009,3,1997,0,0,0,0,0,0,0,0,0,0
3009,3,1998,0,0,0,0,0,0,0,0,0,0
3009,3,1999,0,0,0,0,0,0,0,0,0,0
3009,3,2000,0,0,0,0,0,0,0,0,0,0
3009,3,2001,0,0,0,0,0,0,0,0,0,0
3009,3,2002,0,0,0,0,0,0,0,0,0,0
3009,3,2003,0,0,0,0,0,0,0,0,0,0
3009,3,2004,0,0,0,0,0,0,0,0,0,0
3009,3,2005,0,0,0,0,0,0,0,0,0,0
3009,3,2006,0,0,0,0,0,0,0,0,0,0
3009,3,2007,0,0,0,0,0,0,0,0,0,0
3009,3,2008,0,0,0,0,0,0,0,0,0,0
3009,3,2009,0,0,0,0,0,0,0,0,0,0
3009,3,2010,0,0,0,0,0,0,0,0,0,0
4001,4,1990,0,0,0,0,0,0,0,0,0,0
4001,4,1991,0,0,0,0,0,0,0,0,0,0
4001,4,1992,0,0,0,0,0,0,0,0,0,0
4001,4,1993,0,0,0,0,0,0,0,0,0,0
4001,4,1994,0,0,0,0,0,0,0,0,0,0
4001,4,1995,0,0,0,0,0,0,0,0,0,0
4001,4,1996,0,0,0,0,0,0,0,0,0,0
4001,4,1997,0,0,0,0,0,0,0,0,0,0
4001,4,1998,0,0,0,0,0,0,0,0,0,0
4001,4,1999,0,0,0,0,0,0,0,0,0,0
4001,4,2000,0,0,0,0,0,0,0,0,0,0
4001,4,2001,0,0,0,0,0,0,0,0,0,0
4001,4,2002,0,0,0,0,0,0,0,0,0,0
4001,4,2003,0,0,0,0,0,0,0,0,0,0
4001,4,2004,0,0,0,0,0,0,0,0,0,0
4001,4,2005,0,0,0,0,0,0,0,0,0,0
4001,4,2006,0,0,0,0,0,0,0,0,0,0
4001,4,2007,0,0,0,0,0,0,0,0,0,0
4001,4,2008,0,0,0,0,0,0,0,0,0,0
4001,4,2009,0,0,0,0,0,0,0,0,0,0
4001,4,2010,0,0,0,0,0,0,0,0,0,0
4002,4,1990,0,0,0,0,0,0,0,0,0,0
4002,4,1991,0,0,0,0,0,0,0,0,0,0
4002,4,1992,0,0,0,0,0,0,0,0,0,0
4002,4,1993,0,0,0,0,0,0,0,0,0,0
4002,4,1994,0,0,0,0,0,0,0,0,0,0
4002,4,1995,0,0,0,1,0,0,0,0,0,0
4002,4,1996,0,0,0,0,0,0,0,1,0,0
4002,4,1997,0,0,0,0,1,0,0,0,0,0
4002,4,1998,0,0,0,0,0,0,0,0,0,0
4002,4,1999,0,0,0,0,0,0,0,1,0,0
4002,4,2000,0,0,0,1,0,0,0,0,0,0
4002,4,2001,0,0,0,0,1,0,0,0,0,0
4002,4,2002,0,0,0,1,0,0,0,0,0,0
4002,4,2003,0,0,0,1,0,0,0,0,1,0
4002,4,2004,1,0,0,0,0,1,0,0,1,0
4002,4,2005,0,0,0,0,0,1,0,0,0,0
4002,4,2006,0,0,0,1,0,1,0,0,1,0
4002,4,2007,0,0,0,1,0,0,0,0,1,0
4002,4,2008,0,0,0,1,0,0,0,0,1,0
4002,4,2009,0,0,0,1,0,0,0,0,1,0
4002,4,2010,0,0,0,1,0,0,0,0,1,0
4003,4,1990,0,0,0,0,0,0,0,0,0,0
4003,4,1991,0,0,0,0,0,0,0,0,0,0
4003,4,1992,0,0,0,0,0,0,0,0,0,0
4003,4,1993,0,0,0,0,0,0,0,0,0,0
4003,4,1994,0,0,0,0,0,0,0,0,0,0
