constellation,type,ra,dec,description
Ophiuchus,-1,0,0,
Orion,0,11158,852,move xi
Orion,1,11027,886,draw nu
Orion,1,10631,1216,draw chi1
Orion,1,10917,1208,draw chi2
Orion,1,11158,852,draw xi
Orion,1,10871,578,draw mu
Orion,1,10655,444,draw betelgeuse
Orion,1,9753,380,draw gamma
Orion,1,10054,596,draw lambda
Orion,1,10655,444,draw betelgeuse
Orion,1,10222,-116,draw zeta
Orion,1,10432,-580,draw kappa
Orion,0,10222,-116,move zeta
Orion,1,10086,-72,draw epsilon
Orion,1,9960,-17,draw delta
Orion,1,9734,-143,draw eta
Orion,1,9436,-492,draw rigel
Orion,0,9960,-17,move delta
Orion,1,9753,380,draw gamma
Orion,1,8695,417,draw pi3
Orion,1,8736,336,draw pi4
Orion,1,8827,146,draw pi5
Orion,1,8956,102,draw pi6
Orion,0,8695,417,move pi3
Orion,1,8718,534,draw pi2
Orion,1,8846,609,draw pi1
Orion,1,8891,810,draw omicron2
Orion,1,9137,924,draw 11
Orion,-1,0,0,
Pavo,0,36017,-4374,move epsilon
Pavo,1,36261,-3970,draw delta
Pavo,1,33691,-4285,draw zeta
Pavo,0,31971,-3883,move eta
Pavo,1,32657,-3820,draw pi
Pavo,1,33096,-3689,draw xi
Pavo,1,33966,-3731,draw lambda
Pavo,1,36261,-3970,draw delta
Pavo,1,36769,-3404,draw alpha
Pavo,1,38593,-3921,draw gamma
Pavo,1,37348,-3972,draw beta
Pavo,1,36261,-3970,draw delta
Pavo,1,34108,-4034,draw kappa
Pavo,1,32657,-3820,draw pi
Pavo,-1,0,0,
Pegasus,0,39125,592,move epsilon
Pegasus,1,39906,371,draw theta
Pegasus,1,40843,649,draw zeta
Pegasus,1,41542,912,draw alpha
Pegasus,1,397,911,draw gamma
Pegasus,1,251,1745,draw and alpha
Pegasus,1,41513,1684,draw beta
Pegasus,1,41542,912,draw alpha
Pegasus,0,39899,1990,move pi2
